1;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";1;0000-00-00
2;slideOpcion2;"{""top"":""5%"",""left"":""15%"",""width"":""25%"",""right"":""""}";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";2;0000-00-01
3;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";3;0000-00-02
4;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";4;0000-00-03
5;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";5;0000-00-04
6;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";6;0000-00-05
7;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";7;0000-00-06
8;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";8;0000-00-07
9;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";9;0000-00-08
10;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";10;0000-00-09
